t,x_ref,x_meas
0,0,0
0.002,0,1.35593028917498e-15
0.004,0,3.45936491887329e-13
0.006,0,3.94278738964736e-12
0.008,0,2.14258611807965e-11
0.01,0,8.4681734238023e-11
0.012,0,2.28785504703213e-10
0.014,0,5.65873776198218e-10
0.016,0,1.23212623232037e-09
0.018,0,2.32347241914629e-09
0.02,0,4.21912534513943e-09
0.022,0,7.46381751017827e-09
0.024,0,1.19215004064442e-08
0.026,0,1.7920527279205e-08
0.028,0,2.79451577568345e-08
0.03,0,3.92708939507198e-08
0.032,0,5.65853791452513e-08
0.034,0,7.79541847480736e-08
0.036,0,1.06719622245036e-07
0.038,0,1.38356594023316e-07
0.04,0,1.84808969944874e-07
0.042,0,2.31261345866433e-07
0.044,0,2.96496311590437e-07
0.046,0,3.69699436631989e-07
0.048,0,4.57364620859051e-07
0.05,0,5.61958250602982e-07
0.052,0,6.83780191483985e-07
0.054,0,8.21919600306095e-07
0.056,0,9.77370425956431e-07
0.058,0,1.14994180099296e-06
0.06,0,1.34118216917763e-06
0.062,0,1.54386773324653e-06
0.064,0,1.76280189026605e-06
0.066,0,2.00676666458825e-06
0.068,0,2.2558370680574e-06
0.07,0,2.54728846988992e-06
0.072,0,2.83873987172244e-06
0.074,0,3.142476835594e-06
0.076,0,3.50477846891863e-06
0.078,0,3.86708010224325e-06
0.08,0,4.25349397976502e-06
0.082,0,4.71104969771871e-06
0.084,0,5.1686054156724e-06
0.086,0,5.6566414517737e-06
0.088,0,6.20576532997123e-06
0.09,0,6.80202991188761e-06
0.092,0,7.44819653272614e-06
0.094,0,8.15431259244609e-06
0.096,0,8.90512168914489e-06
0.098,0,9.69529420324435e-06
0.1,0,1.05064826023164e-05
0.102,0,1.13189130447575e-05
0.104,0,1.21115755334212e-05
0.106,0,1.286300230195e-05
0.108,0,1.3552849038956e-05
0.11,0,1.41513086060364e-05
0.112,0,1.46625163707205e-05
0.114,0,1.50569114722241e-05
0.116,0,1.53485992428845e-05
0.118,0,1.5550978895661e-05
0.12,0,1.56624858546391e-05
0.122,0,1.5710240988919e-05
0.124,0,1.57253456378378e-05
0.126,0,1.57518330121855e-05
0.128,0,1.58394034401388e-05
0.13,0,1.60396195765639e-05
0.132,0,1.64045417348734e-05
0.134,0,1.69825469398457e-05
0.136,0,1.78138766620201e-05
0.138,0,1.89264177240047e-05
0.14,0,2.03568903928782e-05
0.142,0,2.20373530693741e-05
0.144,0,2.39919888557282e-05
0.146,0,2.61832815486712e-05
0.148,0,2.85069342525061e-05
0.15,0,3.09103603264537e-05
0.152,0,3.32897018928021e-05
0.154,0,3.55340554936502e-05
0.156,0,3.75422141210191e-05
0.158,0,3.92068956945828e-05
0.16,0,4.04281684178314e-05
0.162,0,4.11214632094146e-05
0.164,0,4.12373962745111e-05
0.166,0,4.07453187862988e-05
0.168,0,3.9615196022374e-05
0.17,0,3.79763969847146e-05
0.172,0,3.59105477140095e-05
0.174,0,3.35920266228749e-05
0.176,0,3.12168085197942e-05
0.178,0,2.90349479978033e-05
0.18,0,2.72662846050435e-05
0.182,0,2.61933623422429e-05
0.184,0,2.59942256569804e-05
0.186,0,2.6859022323302e-05
0.188,0,2.90261412658435e-05
0.19,0,3.24546505268639e-05
